SystemVariableID,EntityTypeID,EntityTypeName,SystemVariableCode,SystemVariableDescription,NumericValue,Sequence,IsSystemGenerated,IsInactive,CompanyID,CreatedBy,CreatedDate,CreatedIP,UpdatedBy,UpdatedDate,UpdatedIP,RowVersion
1,1,Gender,Male,Male,1,1,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
2,1,Gender,Female,Female,1,2,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
3,2,Religion,Islam,Islam,1,1,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
4,2,Religion,Hindu,Hindu,1,2,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
5,3,MaritialStatus,Married,Married,1,1,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
6,3,MaritialStatus,Unmarried,Unmarried,1,2,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
7,4,BloodGroup,O+,O+,1,1,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
8,4,BloodGroup,O-,O-,1,2,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
9,5,PersonType,Employee,Employee,1,1,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
10,5,PersonType,Applicant,Applicant,1,2,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
11,2,Religion,Buddhist,Buddhist,1,3,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
12,2,Religion,Christian,Christian,1,4,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
13,4,BloodGroup,A+,A+,1,1,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
14,4,BloodGroup,B+,B+,1,1,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
15,4,BloodGroup,A-,A-,1,1,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
16,4,BloodGroup,B-,B-,1,1,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
17,4,BloodGroup,AB+,AB+,1,1,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
18,4,BloodGroup,AB-,AB-,1,1,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
19,6,EmployeeJobStatus,Permanent,Permanent,0,1,1,1,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
20,6,EmployeeJobStatus,On Process,On Process,0,2,1,1,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
21,6,EmployeeJobStatus,Probation,Probation,0,2,1,1,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
22,7,ApprovalStatus,Pending,Pending,1,1,1,0,nagad,3,05:25.5,NULL,NULL,NULL,NULL,1
23,7,ApprovalStatus,Approved,Approved,1,2,1,0,nagad,3,05:25.5,NULL,NULL,NULL,NULL,1
24,7,ApprovalStatus,Rejected,Rejected,1,3,1,0,nagad,3,05:25.5,NULL,NULL,NULL,NULL,1
25,7,ApprovalStatus,Initiated,Initiated,1,4,1,0,nagad,3,05:25.5,NULL,NULL,NULL,NULL,1
26,8,PersonAddressType,Present,Present,1,1,1,0,nagad,3,38:24.8,NULL,NULL,NULL,NULL,1
27,8,PersonAddressType,Permanent,Permanent,1,2,1,0,nagad,3,38:24.8,NULL,NULL,NULL,NULL,1
28,9,ReferenceType,Relative,Relative,1,1,1,0,nagad,3,33:55.9,NULL,NULL,NULL,NULL,1
29,9,ReferenceType,Professional,Professional,1,2,1,0,nagad,3,33:55.9,NULL,NULL,NULL,NULL,1
30,9,ReferenceType,Academic,Academic,1,3,1,0,nagad,3,33:55.9,NULL,NULL,NULL,NULL,1
31,9,ReferenceType,FamilyFriend,Family Friend,1,4,1,0,nagad,3,33:55.9,NULL,NULL,NULL,NULL,1
32,9,ReferenceType,Others,Others,1,5,1,0,nagad,3,33:55.9,NULL,NULL,NULL,NULL,1
33,10,LeaveCategory,Annual Leave,Annual Leave,1,1,1,0,nagad,3,18:14.0,NULL,5008,17:51.3,172.27.112.1,2
34,10,LeaveCategory,Casual Leave,Casual Leave,1,2,1,0,nagad,3,18:14.0,NULL,NULL,NULL,NULL,1
35,10,LeaveCategory,Sick Leave,Sick Leave,1,3,1,0,nagad,3,18:14.0,NULL,NULL,NULL,NULL,1
