MenuID,ParentID,ApplicationID,ID,Title,Translate,Type,Icon,Url,Badge,Target,Exact,Auth,Parameters,IsVisible,SequenceNo
3,0,1,applications,Applications,APPLICATIONS,group,apps,NULL,NULL,NULL,1,NULL,NULL,1,1.00
5,3,1,dashboards,Dashboards,DASHBOARDS,collapse,dashboard,NULL,NULL,NULL,1,NULL,NULL,1,1.10
6,24,1,attendance-dashboard,Attendance Details,Attendance Details,item,NULL,/apps/dashboards/attendance-dashboard,NULL,NULL,1,NULL,NULL,1,1.11
8,3,1,calendar,Calendar,CALENDAR,item,today,/apps/calendar,NULL,NULL,1,NULL,NULL,1,2.01
9,11,1,users,Users,Users,item,account_box,/apps/users/all,NULL,NULL,1,NULL,NULL,1,1.14
11,3,1,access-control,Access Control,Access Control,collapse,security,NULL,NULL,NULL,1,NULL,NULL,1,1.16
12,11,1,access-rule,Rule,Rule,collapse,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1.17
13,11,1,access-group,Group,Group,collapse,group,NULL,NULL,NULL,1,NULL,NULL,1,1.18
14,12,1,access-rule-list,Rule List,Rule List,item,list,/apps/security/security-rules/securityRuleList,NULL,NULL,1,NULL,NULL,1,1.20
15,12,1,access-rule-creation,New Rule,New Rule,item,add_circle,/apps/security/security-rules/securityRule/new,NULL,NULL,1,NULL,NULL,1,1.19
16,13,1,access-group-creation,New Group,New Group,item,add_circle,/apps/security/security-groups/securityGroup/new,NULL,NULL,1,NULL,NULL,1,1.19
17,13,1,access-group-list,Group List,Group List,item,list,/apps/security/security-groups/securityGroupList,NULL,NULL,1,NULL,NULL,1,1.19
18,23,1,person,Person,Person,collapse,person,NULL,NULL,NULL,1,NULL,NULL,0,1.20
19,18,1,add-person,Add New Person,Add New Person,item,person_add,/apps/security/persons/person/new,NULL,NULL,1,NULL,NULL,0,1.21
20,18,1,person-list,Person List,Person List,item,list,/apps/security/persons/personList,NULL,NULL,1,NULL,NULL,0,1.22
21,24,1,employee-attendance-dashboard,Employee's Attendance,Employee's Attendance,item,NULL,/apps/dashboards/employee-attendance-dashboard,NULL,NULL,1,NULL,NULL,1,1.34
22,3,1,license,License,License,item,card_membership,/pages/license,NULL,NULL,1,NULL,NULL,0,1.23
23,3,1,hrms,HRMS,HRMS,collapse,group,NULL,NULL,NULL,1,NULL,NULL,1,1.24
24,23,1,attendance,Attendance,Attendance,collapse,how_to_reg,NULL,NULL,NULL,1,NULL,NULL,1,1.11
25,24,1,remote-attendance,Remote Attendance,Remote Attendance,item,NULL,/apps/hrms/attendance/remoteAttendance,NULL,NULL,1,NULL,NULL,1,1.26
26,142,1,hrms-master-settings,HRMS,HRMS,collapse,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1.26
27,26,1,department,Department,Department,item,NULL,/apps/hrms/masterdata/department,NULL,NULL,1,NULL,NULL,1,1.26
28,26,1,designation,Designation,Designation,item,NULL,/apps/hrms/masterdata/designation,NULL,NULL,1,NULL,NULL,1,1.28
29,26,1,division,Division,Division,item,NULL,/apps/hrms/masterdata/division,NULL,NULL,1,NULL,NULL,1,1.29
30,23,1,employee,Employee Info,Employee Info,collapse,person,NULL,NULL,NULL,1,NULL,NULL,1,1.30
31,30,1,add-employee,Add Employee,Add Employee,item,person_add,/apps/hrms/employee/addEmployeeWithPerson/new,NULL,NULL,1,NULL,NULL,1,1.31
32,30,1,employee-list,Employee List,Employee List,item,list,/apps/hrms/employee/employeeList,NULL,NULL,1,NULL,NULL,1,1.32
33,24,1,approve-remote-attendance,Approve Attendance,Approve Attendance,item,NULL,/apps/hrms/attendance/approveRemoteAttendance,NULL,NULL,1,NULL,NULL,1,1.33
34,23,1,hrms-attenance,HR Attendance,HR Attendance,collapse,how_to_reg,NULL,NULL,NULL,1,NULL,NULL,1,1.30
35,26,1,cluster,Cluster,Cluster,item,NULL,/apps/hrms/masterdata/cluster,NULL,NULL,1,NULL,NULL,1,1.35
36,26,1,region,Region,Region,item,NULL,/apps/hrms/masterdata/region,NULL,NULL,1,NULL,NULL,1,1.36
37,26,1,branchinfo,Workstation,Workstation,item,NULL,/apps/hrms/masterdata/workstation,NULL,NULL,1,NULL,NULL,1,1.37
38,30,1,upcoming-employeelist,Upcoming Employee List,Upcoming Employee List,item,list,/apps/security/persons/unemploymentList,NULL,NULL,1,NULL,NULL,1,1.38
39,26,1,financialyear,Financial Year,Financial Year,collapse,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1.39
